2022-03-25 12:04:24,325:DEBUG:File selezionato per il parsing: 74181.003.matrix
2022-03-25 12:04:24,326:DEBUG:Parsing completato: 66 elementi del dominio e 2 insiemi
2022-03-25 12:04:24,327:INFO:	Queue size: 1
2022-03-25 12:04:24,327:INFO:	delta: | 0 | representative vector: 0 0
2022-03-25 12:04:24,327:INFO:	delta_max: 0
2022-03-25 12:04:24,327:INFO:	delta components: [0], 6631104482865660642
2022-03-25 12:04:24,329:INFO:		- e: 9 in range(1, 66) -
2022-03-25 12:04:24,330:INFO:		e: 9 representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		T: | 9 | representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		result: KO
2022-03-25 12:04:24,330:INFO:		- e: 10 in range(1, 66) -
2022-03-25 12:04:24,330:INFO:		e: 10 representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		T: | 10 | representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		result: KO
2022-03-25 12:04:24,330:INFO:		- e: 11 in range(1, 66) -
2022-03-25 12:04:24,330:INFO:		e: 11 representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		T: | 11 | representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		result: KO
2022-03-25 12:04:24,330:INFO:		- e: 12 in range(1, 66) -
2022-03-25 12:04:24,330:INFO:		e: 12 representative vector: 0 0
2022-03-25 12:04:24,330:INFO:		T: | 12 | representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		result: KO
2022-03-25 12:04:24,331:INFO:		- e: 13 in range(1, 66) -
2022-03-25 12:04:24,331:INFO:		e: 13 representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		T: | 13 | representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		result: KO
2022-03-25 12:04:24,331:INFO:		- e: 14 in range(1, 66) -
2022-03-25 12:04:24,331:INFO:		e: 14 representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		T: | 14 | representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		result: KO
2022-03-25 12:04:24,331:INFO:		- e: 15 in range(1, 66) -
2022-03-25 12:04:24,331:INFO:		e: 15 representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		T: | 15 | representative vector: 0 0
2022-03-25 12:04:24,331:INFO:		result: KO
2022-03-25 12:04:24,331:INFO:		- e: 16 in range(1, 66) -
2022-03-25 12:04:24,331:INFO:		e: 16 representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		T: | 16 | representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		result: KO
2022-03-25 12:04:24,332:INFO:		- e: 17 in range(1, 66) -
2022-03-25 12:04:24,332:INFO:		e: 17 representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		T: | 17 | representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		result: KO
2022-03-25 12:04:24,332:INFO:		- e: 18 in range(1, 66) -
2022-03-25 12:04:24,332:INFO:		e: 18 representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		T: | 18 | representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		result: KO
2022-03-25 12:04:24,332:INFO:		- e: 19 in range(1, 66) -
2022-03-25 12:04:24,332:INFO:		e: 19 representative vector: 0 0
2022-03-25 12:04:24,332:INFO:		T: | 19 | representative vector: 0 0
2022-03-25 12:04:24,333:INFO:		result: KO
2022-03-25 12:04:24,333:INFO:		- e: 20 in range(1, 66) -
2022-03-25 12:04:24,333:INFO:		e: 20 representative vector: 0 0
2022-03-25 12:04:24,333:INFO:		T: | 20 | representative vector: 0 0
2022-03-25 12:04:24,333:INFO:		result: KO
2022-03-25 12:04:24,333:INFO:		- e: 21 in range(1, 66) -
2022-03-25 12:04:24,333:INFO:		e: 21 representative vector: 0 0
2022-03-25 12:04:24,333:INFO:		T: | 21 | representative vector: 0 0
2022-03-25 12:04:24,333:INFO:		result: KO
2022-03-25 12:04:24,333:INFO:		- e: 22 in range(1, 66) -
2022-03-25 12:04:24,333:INFO:		e: 22 representative vector: 0 22
2022-03-25 12:04:24,333:INFO:		T: | 22 | representative vector: 0 22
2022-03-25 12:04:24,333:INFO:		result: OK
2022-03-25 12:04:24,333:INFO:		- e: 23 in range(1, 66) -
2022-03-25 12:04:24,333:INFO:		e: 23 representative vector: 0 23
2022-03-25 12:04:24,334:INFO:		T: | 23 | representative vector: 0 23
2022-03-25 12:04:24,334:INFO:		result: OK
2022-03-25 12:04:24,334:INFO:		- e: 24 in range(1, 66) -
2022-03-25 12:04:24,334:INFO:		e: 24 representative vector: 0 24
2022-03-25 12:04:24,334:INFO:		T: | 24 | representative vector: 0 24
2022-03-25 12:04:24,334:INFO:		result: OK
2022-03-25 12:04:24,334:INFO:		- e: 25 in range(1, 66) -
2022-03-25 12:04:24,334:INFO:		e: 25 representative vector: 0 0
2022-03-25 12:04:24,334:INFO:		T: | 25 | representative vector: 0 0
2022-03-25 12:04:24,334:INFO:		result: KO
2022-03-25 12:04:24,334:INFO:		- e: 26 in range(1, 66) -
2022-03-25 12:04:24,334:INFO:		e: 26 representative vector: 0 0
2022-03-25 12:04:24,334:INFO:		T: | 26 | representative vector: 0 0
2022-03-25 12:04:24,334:INFO:		result: KO
2022-03-25 12:04:24,335:INFO:		- e: 27 in range(1, 66) -
2022-03-25 12:04:24,335:INFO:		e: 27 representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		T: | 27 | representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		result: KO
2022-03-25 12:04:24,335:INFO:		- e: 28 in range(1, 66) -
2022-03-25 12:04:24,335:INFO:		e: 28 representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		T: | 28 | representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		result: KO
2022-03-25 12:04:24,335:INFO:		- e: 29 in range(1, 66) -
2022-03-25 12:04:24,335:INFO:		e: 29 representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		T: | 29 | representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		result: KO
2022-03-25 12:04:24,335:INFO:		- e: 30 in range(1, 66) -
2022-03-25 12:04:24,335:INFO:		e: 30 representative vector: 0 0
2022-03-25 12:04:24,335:INFO:		T: | 30 | representative vector: 0 0
2022-03-25 12:04:24,336:INFO:		result: KO
2022-03-25 12:04:24,336:INFO:		- e: 31 in range(1, 66) -
2022-03-25 12:04:24,336:INFO:		e: 31 representative vector: 0 0
2022-03-25 12:04:24,336:INFO:		T: | 31 | representative vector: 0 0
2022-03-25 12:04:24,336:INFO:		result: KO
2022-03-25 12:04:24,336:INFO:		- e: 32 in range(1, 66) -
2022-03-25 12:04:24,336:INFO:		e: 32 representative vector: 0 0
2022-03-25 12:04:24,336:INFO:		T: | 32 | representative vector: 0 0
2022-03-25 12:04:24,336:INFO:		result: KO
2022-03-25 12:04:24,336:INFO:		- e: 33 in range(1, 66) -
2022-03-25 12:04:24,336:INFO:		e: 33 representative vector: 0 33
2022-03-25 12:04:24,336:INFO:		T: | 33 | representative vector: 0 33
2022-03-25 12:04:24,336:INFO:		result: OK
2022-03-25 12:04:24,336:INFO:		- e: 34 in range(1, 66) -
2022-03-25 12:04:24,337:INFO:		e: 34 representative vector: 0 34
2022-03-25 12:04:24,337:INFO:		T: | 34 | representative vector: 0 34
2022-03-25 12:04:24,337:INFO:		result: OK
2022-03-25 12:04:24,337:INFO:		- e: 35 in range(1, 66) -
2022-03-25 12:04:24,337:INFO:		e: 35 representative vector: 0 0
2022-03-25 12:04:24,337:INFO:		T: | 35 | representative vector: 0 0
2022-03-25 12:04:24,337:INFO:		result: KO
2022-03-25 12:04:24,337:INFO:		- e: 36 in range(1, 66) -
2022-03-25 12:04:24,337:INFO:		e: 36 representative vector: 0 0
2022-03-25 12:04:24,337:INFO:		T: | 36 | representative vector: 0 0
2022-03-25 12:04:24,337:INFO:		result: KO
2022-03-25 12:04:24,338:INFO:		- e: 37 in range(1, 66) -
2022-03-25 12:04:24,338:INFO:		e: 37 representative vector: 0 0
2022-03-25 12:04:24,338:INFO:		T: | 37 | representative vector: 0 0
2022-03-25 12:04:24,338:INFO:		result: KO
2022-03-25 12:04:24,338:INFO:		- e: 38 in range(1, 66) -
2022-03-25 12:04:24,338:INFO:		e: 38 representative vector: 0 0
2022-03-25 12:04:24,338:INFO:		T: | 38 | representative vector: 0 0
2022-03-25 12:04:24,338:INFO:		result: KO
2022-03-25 12:04:24,338:INFO:		- e: 39 in range(1, 66) -
2022-03-25 12:04:24,338:INFO:		e: 39 representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		T: | 39 | representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		result: KO
2022-03-25 12:04:24,339:INFO:		- e: 40 in range(1, 66) -
2022-03-25 12:04:24,339:INFO:		e: 40 representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		T: | 40 | representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		result: KO
2022-03-25 12:04:24,339:INFO:		- e: 41 in range(1, 66) -
2022-03-25 12:04:24,339:INFO:		e: 41 representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		T: | 41 | representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		result: KO
2022-03-25 12:04:24,339:INFO:		- e: 42 in range(1, 66) -
2022-03-25 12:04:24,339:INFO:		e: 42 representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		T: | 42 | representative vector: 0 0
2022-03-25 12:04:24,339:INFO:		result: KO
2022-03-25 12:04:24,340:INFO:		- e: 43 in range(1, 66) -
2022-03-25 12:04:24,340:INFO:		e: 43 representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		T: | 43 | representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		result: KO
2022-03-25 12:04:24,340:INFO:		- e: 44 in range(1, 66) -
2022-03-25 12:04:24,340:INFO:		e: 44 representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		T: | 44 | representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		result: KO
2022-03-25 12:04:24,340:INFO:		- e: 45 in range(1, 66) -
2022-03-25 12:04:24,340:INFO:		e: 45 representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		T: | 45 | representative vector: 0 0
2022-03-25 12:04:24,340:INFO:		result: KO
2022-03-25 12:04:24,340:INFO:		- e: 46 in range(1, 66) -
2022-03-25 12:04:24,341:INFO:		e: 46 representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		T: | 46 | representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		result: KO
2022-03-25 12:04:24,341:INFO:		- e: 47 in range(1, 66) -
2022-03-25 12:04:24,341:INFO:		e: 47 representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		T: | 47 | representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		result: KO
2022-03-25 12:04:24,341:INFO:		- e: 48 in range(1, 66) -
2022-03-25 12:04:24,341:INFO:		e: 48 representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		T: | 48 | representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		result: KO
2022-03-25 12:04:24,341:INFO:		- e: 49 in range(1, 66) -
2022-03-25 12:04:24,341:INFO:		e: 49 representative vector: 0 0
2022-03-25 12:04:24,341:INFO:		T: | 49 | representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		result: KO
2022-03-25 12:04:24,342:INFO:		- e: 50 in range(1, 66) -
2022-03-25 12:04:24,342:INFO:		e: 50 representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		T: | 50 | representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		result: KO
2022-03-25 12:04:24,342:INFO:		- e: 51 in range(1, 66) -
2022-03-25 12:04:24,342:INFO:		e: 51 representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		T: | 51 | representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		result: KO
2022-03-25 12:04:24,342:INFO:		- e: 52 in range(1, 66) -
2022-03-25 12:04:24,342:INFO:		e: 52 representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		T: | 52 | representative vector: 0 0
2022-03-25 12:04:24,342:INFO:		result: KO
2022-03-25 12:04:24,342:INFO:		- e: 53 in range(1, 66) -
2022-03-25 12:04:24,342:INFO:		e: 53 representative vector: 0 53
2022-03-25 12:04:24,343:INFO:		T: | 53 | representative vector: 0 53
2022-03-25 12:04:24,343:INFO:		result: OK
2022-03-25 12:04:24,343:INFO:		- e: 54 in range(1, 66) -
2022-03-25 12:04:24,343:INFO:		e: 54 representative vector: 0 54
2022-03-25 12:04:24,343:INFO:		T: | 54 | representative vector: 0 54
2022-03-25 12:04:24,343:INFO:		result: OK
2022-03-25 12:04:24,343:INFO:		- e: 55 in range(1, 66) -
2022-03-25 12:04:24,343:INFO:		e: 55 representative vector: 0 0
2022-03-25 12:04:24,343:INFO:		T: | 55 | representative vector: 0 0
2022-03-25 12:04:24,343:INFO:		result: KO
2022-03-25 12:04:24,343:INFO:		- e: 56 in range(1, 66) -
2022-03-25 12:04:24,343:INFO:		e: 56 representative vector: 0 0
2022-03-25 12:04:24,343:INFO:		T: | 56 | representative vector: 0 0
2022-03-25 12:04:24,343:INFO:		result: KO
2022-03-25 12:04:24,344:INFO:		- e: 57 in range(1, 66) -
2022-03-25 12:04:24,344:INFO:		e: 57 representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		T: | 57 | representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		result: KO
2022-03-25 12:04:24,344:INFO:		- e: 58 in range(1, 66) -
2022-03-25 12:04:24,344:INFO:		e: 58 representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		T: | 58 | representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		result: KO
2022-03-25 12:04:24,344:INFO:		- e: 59 in range(1, 66) -
2022-03-25 12:04:24,344:INFO:		e: 59 representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		T: | 59 | representative vector: 0 0
2022-03-25 12:04:24,344:INFO:		result: KO
2022-03-25 12:04:24,344:INFO:		- e: 60 in range(1, 66) -
2022-03-25 12:04:24,344:INFO:		e: 60 representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		T: | 60 | representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		result: KO
2022-03-25 12:04:24,345:INFO:		- e: 61 in range(1, 66) -
2022-03-25 12:04:24,345:INFO:		e: 61 representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		T: | 61 | representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		result: KO
2022-03-25 12:04:24,345:INFO:		- e: 62 in range(1, 66) -
2022-03-25 12:04:24,345:INFO:		e: 62 representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		T: | 62 | representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		result: KO
2022-03-25 12:04:24,345:INFO:		- e: 63 in range(1, 66) -
2022-03-25 12:04:24,345:INFO:		e: 63 representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		T: | 63 | representative vector: 0 0
2022-03-25 12:04:24,345:INFO:		result: KO
2022-03-25 12:04:24,345:INFO:		- e: 64 in range(1, 66) -
2022-03-25 12:04:24,346:INFO:		e: 64 representative vector: 0 0
2022-03-25 12:04:24,346:INFO:		T: | 64 | representative vector: 0 0
2022-03-25 12:04:24,346:INFO:		result: KO
2022-03-25 12:04:24,346:INFO:		- e: 65 in range(1, 66) -
2022-03-25 12:04:24,346:INFO:		e: 65 representative vector: 0 65
2022-03-25 12:04:24,346:INFO:		T: | 65 | representative vector: 0 65
2022-03-25 12:04:24,346:INFO:		result: OK
2022-03-25 12:04:24,346:INFO:		- e: 66 in range(1, 66) -
2022-03-25 12:04:24,346:INFO:		e: 66 representative vector: 66 66
2022-03-25 12:04:24,346:INFO:		T: | 66 | representative vector: 66 66
2022-03-25 12:04:24,346:INFO:		result: MHS
2022-03-25 12:04:24,346:INFO:		Minimal hitting set: | 66 |
2022-03-25 12:04:24,346:INFO:	Queue size: 9
2022-03-25 12:04:24,346:INFO:	delta: | 65 | representative vector: 0 65
2022-03-25 12:04:24,347:INFO:	delta_max: 65
2022-03-25 12:04:24,347:INFO:	delta components: [65], 586835047714665323
2022-03-25 12:04:24,347:INFO:		- e: 66 in range(66, 66) -
2022-03-25 12:04:24,347:INFO:		e: 66 representative vector: 66 66
2022-03-25 12:04:24,347:INFO:		T: | 65 - 66 | representative vector: 66 -67
2022-03-25 12:04:24,347:INFO:		result: KO
2022-03-25 12:04:24,347:INFO:	Queue size: 8
2022-03-25 12:04:24,347:INFO:	delta: | 54 | representative vector: 0 54
2022-03-25 12:04:24,347:INFO:	delta_max: 54
2022-03-25 12:04:24,347:INFO:	delta components: [54], 497084627301440039
2022-03-25 12:04:24,347:INFO:		- e: 55 in range(55, 66) -
2022-03-25 12:04:24,347:INFO:		e: 55 representative vector: 0 0
2022-03-25 12:04:24,347:INFO:		T: | 54 - 55 | representative vector: 0 54
2022-03-25 12:04:24,347:INFO:		result: KO
2022-03-25 12:04:24,348:INFO:		- e: 56 in range(55, 66) -
2022-03-25 12:04:24,348:INFO:		e: 56 representative vector: 0 0
2022-03-25 12:04:24,348:INFO:		T: | 54 - 56 | representative vector: 0 54
2022-03-25 12:04:24,348:INFO:		result: KO
2022-03-25 12:04:24,348:INFO:		- e: 57 in range(55, 66) -
2022-03-25 12:04:24,348:INFO:		e: 57 representative vector: 0 0
2022-03-25 12:04:24,348:INFO:		T: | 54 - 57 | representative vector: 0 54
2022-03-25 12:04:24,348:INFO:		result: KO
2022-03-25 12:04:24,348:INFO:		- e: 58 in range(55, 66) -
2022-03-25 12:04:24,348:INFO:		e: 58 representative vector: 0 0
2022-03-25 12:04:24,348:INFO:		T: | 54 - 58 | representative vector: 0 54
2022-03-25 12:04:24,348:INFO:		result: KO
2022-03-25 12:04:24,348:INFO:		- e: 59 in range(55, 66) -
2022-03-25 12:04:24,348:INFO:		e: 59 representative vector: 0 0
2022-03-25 12:04:24,349:INFO:		T: | 54 - 59 | representative vector: 0 54
2022-03-25 12:04:24,349:INFO:		result: KO
2022-03-25 12:04:24,349:INFO:		- e: 60 in range(55, 66) -
2022-03-25 12:04:24,349:INFO:		e: 60 representative vector: 0 0
2022-03-25 12:04:24,349:INFO:		T: | 54 - 60 | representative vector: 0 54
2022-03-25 12:04:24,349:INFO:		result: KO
2022-03-25 12:04:24,349:INFO:		- e: 61 in range(55, 66) -
2022-03-25 12:04:24,349:INFO:		e: 61 representative vector: 0 0
2022-03-25 12:04:24,349:INFO:		T: | 54 - 61 | representative vector: 0 54
2022-03-25 12:04:24,349:INFO:		result: KO
2022-03-25 12:04:24,349:INFO:		- e: 62 in range(55, 66) -
2022-03-25 12:04:24,349:INFO:		e: 62 representative vector: 0 0
2022-03-25 12:04:24,349:INFO:		T: | 54 - 62 | representative vector: 0 54
2022-03-25 12:04:24,349:INFO:		result: KO
2022-03-25 12:04:24,350:INFO:		- e: 63 in range(55, 66) -
2022-03-25 12:04:24,350:INFO:		e: 63 representative vector: 0 0
2022-03-25 12:04:24,350:INFO:		T: | 54 - 63 | representative vector: 0 54
2022-03-25 12:04:24,350:INFO:		result: KO
2022-03-25 12:04:24,350:INFO:		- e: 64 in range(55, 66) -
2022-03-25 12:04:24,350:INFO:		e: 64 representative vector: 0 0
2022-03-25 12:04:24,350:INFO:		T: | 54 - 64 | representative vector: 0 54
2022-03-25 12:04:24,350:INFO:		result: KO
2022-03-25 12:04:24,350:INFO:		- e: 65 in range(55, 66) -
2022-03-25 12:04:24,350:INFO:		e: 65 representative vector: 0 65
2022-03-25 12:04:24,350:INFO:		T: | 54 - 65 | representative vector: 0 -67
2022-03-25 12:04:24,350:INFO:		result: KO
2022-03-25 12:04:24,350:INFO:		- e: 66 in range(55, 66) -
2022-03-25 12:04:24,350:INFO:		e: 66 representative vector: 66 66
2022-03-25 12:04:24,350:INFO:		T: | 54 - 66 | representative vector: 66 -67
2022-03-25 12:04:24,351:INFO:		result: KO
2022-03-25 12:04:24,351:INFO:	Queue size: 7
2022-03-25 12:04:24,351:INFO:	delta: | 53 | representative vector: 0 53
2022-03-25 12:04:24,351:INFO:	delta_max: 53
2022-03-25 12:04:24,351:INFO:	delta components: [53], -7047792175045654820
2022-03-25 12:04:24,351:INFO:		- e: 54 in range(54, 66) -
2022-03-25 12:04:24,351:INFO:		e: 54 representative vector: 0 54
2022-03-25 12:04:24,351:INFO:		T: | 53 - 54 | representative vector: 0 -67
2022-03-25 12:04:24,351:INFO:		result: KO
2022-03-25 12:04:24,351:INFO:		- e: 55 in range(54, 66) -
2022-03-25 12:04:24,351:INFO:		e: 55 representative vector: 0 0
2022-03-25 12:04:24,351:INFO:		T: | 53 - 55 | representative vector: 0 53
2022-03-25 12:04:24,351:INFO:		result: KO
2022-03-25 12:04:24,351:INFO:		- e: 56 in range(54, 66) -
2022-03-25 12:04:24,352:INFO:		e: 56 representative vector: 0 0
2022-03-25 12:04:24,352:INFO:		T: | 53 - 56 | representative vector: 0 53
2022-03-25 12:04:24,352:INFO:		result: KO
2022-03-25 12:04:24,352:INFO:		- e: 57 in range(54, 66) -
2022-03-25 12:04:24,352:INFO:		e: 57 representative vector: 0 0
2022-03-25 12:04:24,352:INFO:		T: | 53 - 57 | representative vector: 0 53
2022-03-25 12:04:24,352:INFO:		result: KO
2022-03-25 12:04:24,352:INFO:		- e: 58 in range(54, 66) -
2022-03-25 12:04:24,352:INFO:		e: 58 representative vector: 0 0
2022-03-25 12:04:24,352:INFO:		T: | 53 - 58 | representative vector: 0 53
2022-03-25 12:04:24,352:INFO:		result: KO
2022-03-25 12:04:24,352:INFO:		- e: 59 in range(54, 66) -
2022-03-25 12:04:24,352:INFO:		e: 59 representative vector: 0 0
2022-03-25 12:04:24,352:INFO:		T: | 53 - 59 | representative vector: 0 53
2022-03-25 12:04:24,353:INFO:		result: KO
2022-03-25 12:04:24,353:INFO:		- e: 60 in range(54, 66) -
2022-03-25 12:04:24,353:INFO:		e: 60 representative vector: 0 0
2022-03-25 12:04:24,353:INFO:		T: | 53 - 60 | representative vector: 0 53
2022-03-25 12:04:24,353:INFO:		result: KO
2022-03-25 12:04:24,353:INFO:		- e: 61 in range(54, 66) -
2022-03-25 12:04:24,353:INFO:		e: 61 representative vector: 0 0
2022-03-25 12:04:24,354:INFO:		T: | 53 - 61 | representative vector: 0 53
2022-03-25 12:04:24,354:INFO:		result: KO
2022-03-25 12:04:24,354:INFO:		- e: 62 in range(54, 66) -
2022-03-25 12:04:24,354:INFO:		e: 62 representative vector: 0 0
2022-03-25 12:04:24,354:INFO:		T: | 53 - 62 | representative vector: 0 53
2022-03-25 12:04:24,354:INFO:		result: KO
2022-03-25 12:04:24,354:INFO:		- e: 63 in range(54, 66) -
2022-03-25 12:04:24,354:INFO:		e: 63 representative vector: 0 0
2022-03-25 12:04:24,354:INFO:		T: | 53 - 63 | representative vector: 0 53
2022-03-25 12:04:24,355:INFO:		result: KO
2022-03-25 12:04:24,355:INFO:		- e: 64 in range(54, 66) -
2022-03-25 12:04:24,355:INFO:		e: 64 representative vector: 0 0
2022-03-25 12:04:24,355:INFO:		T: | 53 - 64 | representative vector: 0 53
2022-03-25 12:04:24,355:INFO:		result: KO
2022-03-25 12:04:24,355:INFO:		- e: 65 in range(54, 66) -
2022-03-25 12:04:24,355:INFO:		e: 65 representative vector: 0 65
2022-03-25 12:04:24,355:INFO:		T: | 53 - 65 | representative vector: 0 -67
2022-03-25 12:04:24,355:INFO:		result: KO
2022-03-25 12:04:24,356:INFO:		- e: 66 in range(54, 66) -
2022-03-25 12:04:24,356:INFO:		e: 66 representative vector: 66 66
2022-03-25 12:04:24,356:INFO:		T: | 53 - 66 | representative vector: 66 -67
2022-03-25 12:04:24,356:INFO:		result: KO
2022-03-25 12:04:24,356:INFO:	Queue size: 6
2022-03-25 12:04:24,356:INFO:	delta: | 34 | representative vector: 0 34
2022-03-25 12:04:24,356:INFO:	delta_max: 34
2022-03-25 12:04:24,356:INFO:	delta components: [34], -5660565321201201266
2022-03-25 12:04:24,356:INFO:		- e: 35 in range(35, 66) -
2022-03-25 12:04:24,357:INFO:		e: 35 representative vector: 0 0
2022-03-25 12:04:24,357:INFO:		T: | 34 - 35 | representative vector: 0 34
2022-03-25 12:04:24,357:INFO:		result: KO
2022-03-25 12:04:24,357:INFO:		- e: 36 in range(35, 66) -
2022-03-25 12:04:24,357:INFO:		e: 36 representative vector: 0 0
2022-03-25 12:04:24,357:INFO:		T: | 34 - 36 | representative vector: 0 34
2022-03-25 12:04:24,357:INFO:		result: KO
2022-03-25 12:04:24,357:INFO:		- e: 37 in range(35, 66) -
2022-03-25 12:04:24,357:INFO:		e: 37 representative vector: 0 0
2022-03-25 12:04:24,358:INFO:		T: | 34 - 37 | representative vector: 0 34
2022-03-25 12:04:24,358:INFO:		result: KO
2022-03-25 12:04:24,358:INFO:		- e: 38 in range(35, 66) -
2022-03-25 12:04:24,358:INFO:		e: 38 representative vector: 0 0
2022-03-25 12:04:24,358:INFO:		T: | 34 - 38 | representative vector: 0 34
2022-03-25 12:04:24,358:INFO:		result: KO
2022-03-25 12:04:24,358:INFO:		- e: 39 in range(35, 66) -
2022-03-25 12:04:24,358:INFO:		e: 39 representative vector: 0 0
2022-03-25 12:04:24,358:INFO:		T: | 34 - 39 | representative vector: 0 34
